姓名,選區,政黨
李婉鈺,新北市第7選舉區,無
蘇卿彥,新北市第3選舉區,無
邱鴻玕,新北市第4選舉區,無
童正億,新北市第8選舉區,無
黃茂,新北市第3選舉區,無
林德福,新北市第9選舉區,中國國民黨
盧嘉辰,新北市第10選舉區,中國國民黨
林國春,新北市第6選舉區,中國國民黨
陳明義,新北市第2選舉區,中國國民黨
黃志雄,新北市第5選舉區,中國國民黨
江惠貞,新北市第7選舉區,中國國民黨
吳育昇,新北市第1選舉區,中國國民黨
李乾龍,新北市第3選舉區,中國國民黨
李慶華,新北市第12選舉區,中國國民黨
羅明才,新北市第11選舉區,中國國民黨
陳茂嘉,新北市第4選舉區,中國國民黨
張慶忠,新北市第8選舉區,中國國民黨
羅致政,新北市第7選舉區,民主進步黨
陳永福,新北市第11選舉區,民主進步黨
江永昌,新北市第8選舉區,民主進步黨
蘇巧慧,新北市第5選舉區,民主進步黨
張宏陸,新北市第6選舉區,民主進步黨
吳秉叡,新北市第4選舉區,民主進步黨
呂孫綾,新北市第1選舉區,民主進步黨
吳琪銘,新北市第10選舉區,民主進步黨
高志鵬,新北市第3選舉區,民主進步黨
林淑芬,新北市第2選舉區,民主進步黨
張碩文,新北市第3選舉區,親民黨
康仁俊,新北市第6選舉區,親民黨
姚玉霜,新北市第6選舉區,台灣工黨
王斯儀,新北市第4選舉區,大愛憲改聯盟
曾柏瑜,新北市第11選舉區,綠黨社會民主黨聯盟
賈伯楷,新北市第4選舉區,綠黨社會民主黨聯盟
陳永順,新北市第12選舉區,信心希望聯盟
游信義,新北市第6選舉區,信心希望聯盟
邱錫奎,宜蘭縣選舉區,無
孫博萮,宜蘭縣選舉區,無
李志鏞,宜蘭縣選舉區,中國國民黨
陳歐珀,宜蘭縣選舉區,民主進步黨
吳子維,宜蘭縣選舉區,大愛憲改聯盟
郭儒釗,宜蘭縣選舉區,軍公教聯盟黨
林獻山,宜蘭縣選舉區,泛盟黨
吳紹文,宜蘭縣選舉區,綠黨社會民主黨聯盟
林金官,連江縣選舉區,無
陳雪生,連江縣選舉區,中國國民黨
張春寶,連江縣選舉區,中華統一促進黨
蘇柏豪,連江縣選舉區,樹黨
張中法,金門縣選舉區,無
洪志恒,金門縣選舉區,無
陳仲立,金門縣選舉區,無
楊鎮浯,金門縣選舉區,中國國民黨
陳滄江,金門縣選舉區,民主進步黨
吳成典,金門縣選舉區,新黨
陳德輝,金門縣選舉區,台灣工黨
高丹樺,金門縣選舉區,軍公教聯盟黨
黄師鵬,花蓮縣選舉區,無
王廷升,花蓮縣選舉區,中國國民黨
蕭美琴,花蓮縣選舉區,民主進步黨
楊悟空,花蓮縣選舉區,泛盟黨
